X-Axis,10x Region 1
-4.59053E+01, 3.52784E+03
-4.37773E+01, 3.52774E+03
-4.16500E+01, 3.52823E+03
-3.95235E+01, 3.52810E+03
-3.73978E+01, 3.52881E+03
-3.52729E+01, 3.52893E+03
-3.31488E+01, 3.53044E+03
-3.10254E+01, 3.53217E+03
-2.89028E+01, 3.53384E+03
-2.67810E+01, 3.53579E+03
-2.46599E+01, 3.53873E+03
-2.25396E+01, 3.54473E+03
-2.04201E+01, 3.55387E+03
-1.83014E+01, 3.57748E+03
-1.61834E+01, 3.68315E+03
-1.40662E+01, 4.10893E+03
-1.19497E+01, 5.18569E+03
-9.83408E+00, 7.37612E+03
-7.71919E+00, 1.20245E+04
-5.60506E+00, 1.49672E+04
-3.49171E+00, 2.15606E+04
-1.37912E+00, 3.53535E+04
 7.32704E-01, 4.86180E+04
 2.84376E+00, 5.15542E+04
 4.95404E+00, 3.57962E+04
 7.06356E+00, 2.00099E+04
 9.17232E+00, 1.55136E+04
 1.12803E+01, 1.17305E+04
 1.33875E+01, 7.87961E+03
 1.54940E+01, 4.99593E+03
 1.75997E+01, 3.86362E+03
 1.97046E+01, 3.62338E+03
 2.18088E+01, 3.56916E+03
 2.39122E+01, 3.55043E+03
 2.60148E+01, 3.54408E+03
 2.81167E+01, 3.53825E+03
 3.02178E+01, 3.53645E+03
 3.23181E+01, 3.53472E+03
 3.44177E+01, 3.53532E+03
 3.65165E+01, 3.53468E+03
 3.86146E+01, 3.53804E+03
 4.07119E+01, 3.54431E+03
 4.28084E+01, 3.55275E+03
 4.49042E+01, 3.56610E+03
 4.69992E+01, 3.57974E+03
 4.90935E+01, 3.59871E+03
 5.11870E+01, 3.62509E+03
 5.32797E+01, 3.65757E+03
 5.53717E+01, 3.70254E+03
 5.74630E+01, 3.74391E+03
 5.95534E+01, 3.77393E+03
 6.16431E+01, 3.78614E+03
 6.37321E+01, 3.78567E+03
 6.58203E+01, 3.78077E+03
 6.79077E+01, 3.77640E+03
 6.99944E+01, 3.77568E+03
 7.20804E+01, 3.77168E+03
 7.41655E+01, 3.77362E+03
 7.62500E+01, 3.76775E+03
 7.83336E+01, 3.75515E+03
 8.04165E+01, 3.74872E+03
 8.24987E+01, 3.74944E+03
 8.45801E+01, 3.74601E+03
 8.66608E+01, 3.74106E+03
 8.87407E+01, 3.73680E+03
 9.08198E+01, 3.73586E+03
 9.28982E+01, 3.74033E+03
 9.49758E+01, 3.73752E+03
 9.70527E+01, 3.73195E+03
 9.91289E+01, 3.72489E+03
 1.01204E+02, 3.72034E+03
 1.03279E+02, 3.71972E+03
 1.05353E+02, 3.71677E+03
 1.07426E+02, 3.71846E+03
 1.09498E+02, 3.71553E+03
 1.11570E+02, 3.70861E+03
 1.13641E+02, 3.70512E+03
 1.15711E+02, 3.70238E+03
 1.17780E+02, 3.69540E+03
 1.19849E+02, 3.69247E+03
 1.21917E+02, 3.68625E+03
 1.23984E+02, 3.67979E+03
 1.26051E+02, 3.67797E+03
 1.28116E+02, 3.67164E+03
 1.30181E+02, 3.66813E+03
 1.32245E+02, 3.66264E+03
 1.34309E+02, 3.65760E+03
 1.36371E+02, 3.65802E+03
 1.38433E+02, 3.65269E+03
 1.40495E+02, 3.65047E+03
 1.42555E+02, 3.64733E+03
 1.44615E+02, 3.64135E+03
 1.46674E+02, 3.63817E+03
 1.48732E+02, 3.63615E+03
 1.50789E+02, 3.63260E+03
 1.52846E+02, 3.62819E+03
 1.54902E+02, 3.62670E+03
 1.56957E+02, 3.62405E+03
 1.59012E+02, 3.62326E+03
 1.61066E+02, 3.61872E+03
 1.63119E+02, 3.61710E+03
 1.65171E+02, 3.61392E+03
 1.67223E+02, 3.61333E+03
 1.69274E+02, 3.60999E+03
 1.71324E+02, 3.61008E+03
 1.73373E+02, 3.60859E+03
 1.75422E+02, 3.60594E+03
 1.77469E+02, 3.60257E+03
 1.79517E+02, 3.60077E+03
 1.81563E+02, 3.59964E+03
 1.83609E+02, 3.59691E+03
 1.85654E+02, 3.59788E+03
 1.87698E+02, 3.59595E+03
 1.89741E+02, 3.59458E+03
 1.91784E+02, 3.59464E+03
 1.93826E+02, 3.59282E+03
 1.95867E+02, 3.59064E+03
 1.97908E+02, 3.58989E+03
 1.99947E+02, 3.58962E+03
 2.01987E+02, 3.58965E+03
 2.04025E+02, 3.58921E+03
 2.06062E+02, 3.58846E+03
 2.08099E+02, 3.58761E+03
 2.10135E+02, 3.58650E+03
 2.12171E+02, 3.58487E+03
 2.14205E+02, 3.58623E+03
 2.16239E+02, 3.58537E+03
 2.18273E+02, 3.58532E+03
 2.20305E+02, 3.58520E+03
 2.22337E+02, 3.58337E+03
 2.24368E+02, 3.58330E+03
 2.26398E+02, 3.58158E+03
 2.28428E+02, 3.58100E+03
 2.30456E+02, 3.57948E+03
 2.32484E+02, 3.57946E+03
 2.34512E+02, 3.57899E+03
 2.36538E+02, 3.57769E+03
 2.38564E+02, 3.57821E+03
 2.40590E+02, 3.57913E+03
 2.42614E+02, 3.57924E+03
 2.44638E+02, 3.58023E+03
 2.46661E+02, 3.58031E+03
 2.48683E+02, 3.58002E+03
 2.50705E+02, 3.58055E+03
 2.52725E+02, 3.58335E+03
 2.54746E+02, 3.58259E+03
 2.56765E+02, 3.58394E+03
 2.58784E+02, 3.58316E+03
 2.60801E+02, 3.58334E+03
 2.62819E+02, 3.58467E+03
 2.64835E+02, 3.58506E+03
 2.66851E+02, 3.58372E+03
 2.68866E+02, 3.58412E+03
 2.70880E+02, 3.58328E+03
 2.72894E+02, 3.58566E+03
 2.74907E+02, 3.58818E+03
 2.76919E+02, 3.58978E+03
 2.78930E+02, 3.59412E+03
 2.80941E+02, 3.59334E+03
 2.82951E+02, 3.59759E+03
 2.84960E+02, 3.59952E+03
 2.86969E+02, 3.60033E+03
 2.88977E+02, 3.60401E+03
 2.90984E+02, 3.60353E+03
 2.92990E+02, 3.60662E+03
 2.94996E+02, 3.60967E+03
 2.97001E+02, 3.61070E+03
 2.99005E+02, 3.61298E+03
 3.01009E+02, 3.61403E+03
 3.03012E+02, 3.61597E+03
 3.05014E+02, 3.61472E+03
 3.07015E+02, 3.61603E+03
 3.09016E+02, 3.61527E+03
 3.11016E+02, 3.61342E+03
 3.13015E+02, 3.61380E+03
 3.15013E+02, 3.61357E+03
 3.17011E+02, 3.61478E+03
 3.19008E+02, 3.61504E+03
 3.21005E+02, 3.61384E+03
 3.23000E+02, 3.61151E+03
 3.24995E+02, 3.61289E+03
 3.26990E+02, 3.61297E+03
 3.28983E+02, 3.60990E+03
 3.30976E+02, 3.60914E+03
 3.32968E+02, 3.60803E+03
 3.34959E+02, 3.60834E+03
 3.36950E+02, 3.60752E+03
 3.38940E+02, 3.60803E+03
 3.40929E+02, 3.60674E+03
 3.42918E+02, 3.60592E+03
 3.44906E+02, 3.60872E+03
 3.46893E+02, 3.61103E+03
 3.48879E+02, 3.61452E+03
 3.50865E+02, 3.61694E+03
 3.52850E+02, 3.61683E+03
 3.54834E+02, 3.61915E+03
 3.56818E+02, 3.61844E+03
 3.58801E+02, 3.61894E+03
 3.60783E+02, 3.61848E+03
 3.62765E+02, 3.61702E+03
 3.64745E+02, 3.61502E+03
 3.66725E+02, 3.61279E+03
 3.68705E+02, 3.61143E+03
 3.70684E+02, 3.60913E+03
 3.72661E+02, 3.60806E+03
 3.74639E+02, 3.60597E+03
 3.76615E+02, 3.60324E+03
 3.78591E+02, 3.60094E+03
 3.80566E+02, 3.59754E+03
 3.82541E+02, 3.59500E+03
 3.84514E+02, 3.59003E+03
 3.86487E+02, 3.58628E+03
 3.88460E+02, 3.58386E+03
 3.90431E+02, 3.58326E+03
 3.92402E+02, 3.58454E+03
 3.94373E+02, 3.58671E+03
 3.96342E+02, 3.58993E+03
 3.98311E+02, 3.59505E+03
 4.00279E+02, 3.60037E+03
 4.02246E+02, 3.60623E+03
 4.04213E+02, 3.61247E+03
 4.06179E+02, 3.61942E+03
 4.08145E+02, 3.62500E+03
 4.10109E+02, 3.62431E+03
 4.12073E+02, 3.62361E+03
 4.14036E+02, 3.62099E+03
 4.15999E+02, 3.61550E+03
 4.17961E+02, 3.61376E+03
 4.19922E+02, 3.61017E+03
 4.21882E+02, 3.61255E+03
 4.23842E+02, 3.61523E+03
 4.25801E+02, 3.61598E+03
 4.27759E+02, 3.61820E+03
 4.29717E+02, 3.62033E+03
 4.31674E+02, 3.62607E+03
 4.33630E+02, 3.62725E+03
 4.35586E+02, 3.63361E+03
 4.37541E+02, 3.63914E+03
 4.39495E+02, 3.64422E+03
 4.41448E+02, 3.64256E+03
 4.43401E+02, 3.64057E+03
 4.45353E+02, 3.63333E+03
 4.47305E+02, 3.62868E+03
 4.49255E+02, 3.62215E+03
 4.51205E+02, 3.61563E+03
 4.53155E+02, 3.61065E+03
 4.55103E+02, 3.60480E+03
 4.57051E+02, 3.60409E+03
 4.58999E+02, 3.60455E+03
 4.60945E+02, 3.60644E+03
 4.62891E+02, 3.61517E+03
 4.64836E+02, 3.62791E+03
 4.66781E+02, 3.64816E+03
 4.68725E+02, 3.68323E+03
 4.70668E+02, 3.73460E+03
