X-Axis,10x Region 3
 3.19008E+02, 3.62745E+03
 3.21005E+02, 3.62659E+03
 3.23000E+02, 3.62387E+03
 3.24995E+02, 3.62262E+03
 3.26990E+02, 3.62396E+03
 3.28983E+02, 3.62160E+03
 3.30976E+02, 3.61978E+03
 3.32968E+02, 3.61999E+03
 3.34959E+02, 3.61856E+03
 3.36950E+02, 3.61672E+03
 3.38940E+02, 3.61452E+03
 3.40929E+02, 3.61543E+03
 3.42918E+02, 3.61783E+03
 3.44906E+02, 3.62067E+03
 3.46893E+02, 3.62388E+03
 3.48879E+02, 3.62639E+03
 3.50865E+02, 3.62923E+03
 3.52850E+02, 3.63245E+03
 3.54834E+02, 3.63395E+03
 3.56818E+02, 3.63313E+03
 3.58801E+02, 3.63460E+03
 3.60783E+02, 3.63355E+03
 3.62765E+02, 3.63152E+03
 3.64745E+02, 3.62744E+03
 3.66725E+02, 3.62633E+03
 3.68705E+02, 3.62291E+03
 3.70684E+02, 3.61919E+03
 3.72661E+02, 3.61413E+03
 3.74639E+02, 3.61353E+03
 3.76615E+02, 3.61170E+03
 3.78591E+02, 3.60878E+03
 3.80566E+02, 3.60646E+03
 3.82541E+02, 3.60138E+03
 3.84514E+02, 3.59635E+03
 3.86487E+02, 3.59358E+03
 3.88460E+02, 3.59130E+03
 3.90431E+02, 3.58871E+03
 3.92402E+02, 3.59025E+03
 3.94373E+02, 3.58937E+03
 3.96342E+02, 3.59498E+03
 3.98311E+02, 3.60058E+03
 4.00279E+02, 3.60528E+03
 4.02246E+02, 3.60989E+03
 4.04213E+02, 3.61674E+03
 4.06179E+02, 3.62209E+03
 4.08145E+02, 3.62688E+03
 4.10109E+02, 3.63113E+03
 4.12073E+02, 3.62750E+03
 4.14036E+02, 3.62436E+03
 4.15999E+02, 3.62201E+03
 4.17961E+02, 3.61952E+03
 4.19922E+02, 3.61895E+03
 4.21882E+02, 3.62111E+03
 4.23842E+02, 3.62143E+03
 4.25801E+02, 3.62250E+03
 4.27759E+02, 3.62490E+03
 4.29717E+02, 3.62838E+03
 4.31674E+02, 3.63591E+03
 4.33630E+02, 3.64116E+03
 4.35586E+02, 3.64899E+03
 4.37541E+02, 3.65384E+03
 4.39495E+02, 3.65907E+03
 4.41448E+02, 3.66096E+03
 4.43401E+02, 3.65625E+03
 4.45353E+02, 3.64921E+03
 4.47305E+02, 3.64151E+03
 4.49255E+02, 3.63144E+03
 4.51205E+02, 3.62419E+03
 4.53155E+02, 3.61780E+03
 4.55103E+02, 3.61433E+03
 4.57051E+02, 3.61086E+03
 4.58999E+02, 3.60787E+03
 4.60945E+02, 3.61184E+03
 4.62891E+02, 3.61770E+03
 4.64836E+02, 3.63090E+03
 4.66781E+02, 3.65020E+03
 4.68725E+02, 3.68587E+03
 4.70668E+02, 3.73431E+03
 4.72610E+02, 3.79243E+03
 4.74552E+02, 3.85361E+03
 4.76493E+02, 3.89414E+03
 4.78433E+02, 3.90455E+03
 4.80373E+02, 3.89108E+03
 4.82312E+02, 3.85302E+03
 4.84250E+02, 3.81455E+03
 4.86188E+02, 3.78276E+03
 4.88125E+02, 3.75378E+03
 4.90061E+02, 3.72118E+03
 4.91997E+02, 3.70060E+03
 4.93932E+02, 3.68536E+03
 4.95866E+02, 3.67102E+03
 4.97799E+02, 3.65835E+03
 4.99732E+02, 3.64901E+03
 5.01664E+02, 3.64064E+03
 5.03596E+02, 3.62982E+03
 5.05527E+02, 3.62401E+03
 5.07457E+02, 3.62113E+03
 5.09386E+02, 3.61575E+03
 5.11315E+02, 3.61597E+03
 5.13243E+02, 3.61625E+03
 5.15170E+02, 3.61521E+03
 5.17097E+02, 3.61458E+03
 5.19023E+02, 3.61512E+03
 5.20948E+02, 3.61694E+03
 5.22873E+02, 3.61667E+03
 5.24797E+02, 3.61551E+03
 5.26720E+02, 3.61243E+03
 5.28643E+02, 3.60899E+03
 5.30565E+02, 3.60505E+03
 5.32486E+02, 3.60058E+03
 5.34407E+02, 3.59747E+03
 5.36327E+02, 3.59438E+03
 5.38246E+02, 3.59083E+03
 5.40164E+02, 3.58709E+03
 5.42082E+02, 3.58336E+03
 5.43999E+02, 3.58129E+03
 5.45916E+02, 3.57639E+03
 5.47832E+02, 3.57437E+03
 5.49747E+02, 3.57474E+03
 5.51661E+02, 3.57272E+03
 5.53575E+02, 3.57382E+03
 5.55488E+02, 3.57241E+03
 5.57401E+02, 3.57375E+03
 5.59313E+02, 3.57432E+03
 5.61224E+02, 3.57605E+03
 5.63134E+02, 3.57710E+03
 5.65044E+02, 3.57908E+03
 5.66953E+02, 3.58423E+03
 5.68862E+02, 3.58850E+03
 5.70769E+02, 3.59279E+03
 5.72676E+02, 3.59750E+03
 5.74583E+02, 3.59859E+03
 5.76488E+02, 3.60260E+03
 5.78394E+02, 3.60258E+03
 5.80298E+02, 3.60374E+03
 5.82202E+02, 3.59967E+03
 5.84105E+02, 3.59243E+03
 5.86007E+02, 3.58752E+03
 5.87909E+02, 3.58125E+03
 5.89810E+02, 3.57964E+03
 5.91710E+02, 3.57537E+03
 5.93610E+02, 3.57521E+03
 5.95509E+02, 3.57475E+03
 5.97407E+02, 3.57275E+03
 5.99305E+02, 3.57393E+03
 6.01202E+02, 3.57495E+03
 6.03098E+02, 3.57322E+03
 6.04994E+02, 3.57385E+03
 6.06889E+02, 3.57527E+03
 6.08784E+02, 3.57406E+03
 6.10677E+02, 3.57563E+03
 6.12570E+02, 3.57593E+03
 6.14463E+02, 3.57620E+03
 6.16354E+02, 3.57687E+03
 6.18245E+02, 3.57470E+03
 6.20136E+02, 3.57268E+03
 6.22025E+02, 3.56957E+03
 6.23914E+02, 3.56658E+03
 6.25803E+02, 3.56383E+03
 6.27691E+02, 3.56071E+03
 6.29578E+02, 3.55883E+03
 6.31464E+02, 3.55666E+03
 6.33350E+02, 3.55589E+03
 6.35235E+02, 3.55257E+03
