X-Axis,10x Region 2
-4.59053E+01, 3.52667E+03
-4.37773E+01, 3.52770E+03
-4.16500E+01, 3.52814E+03
-3.95235E+01, 3.52816E+03
-3.73978E+01, 3.52824E+03
-3.52729E+01, 3.52924E+03
-3.31488E+01, 3.53161E+03
-3.10254E+01, 3.53277E+03
-2.89028E+01, 3.53464E+03
-2.67810E+01, 3.53556E+03
-2.46599E+01, 3.54028E+03
-2.25396E+01, 3.54734E+03
-2.04201E+01, 3.55754E+03
-1.83014E+01, 3.58674E+03
-1.61834E+01, 3.72052E+03
-1.40662E+01, 4.21585E+03
-1.19497E+01, 5.61457E+03
-9.83408E+00, 7.47409E+03
-7.71919E+00, 1.11924E+04
-5.60506E+00, 1.64258E+04
-3.49171E+00, 2.43707E+04
-1.37912E+00, 3.83628E+04
 7.32704E-01, 4.23608E+04
 2.84376E+00, 4.01267E+04
 4.95404E+00, 3.01505E+04
 7.06356E+00, 2.17214E+04
 9.17232E+00, 1.53014E+04
 1.12803E+01, 8.96250E+03
 1.33875E+01, 6.63945E+03
 1.54940E+01, 4.68298E+03
 1.75997E+01, 3.81148E+03
 1.97046E+01, 3.61019E+03
 2.18088E+01, 3.56187E+03
 2.39122E+01, 3.54706E+03
 2.60148E+01, 3.54167E+03
 2.81167E+01, 3.53602E+03
 3.02178E+01, 3.53463E+03
 3.23181E+01, 3.53358E+03
 3.44177E+01, 3.53334E+03
 3.65165E+01, 3.53331E+03
 3.86146E+01, 3.53547E+03
 4.07119E+01, 3.54091E+03
 4.28084E+01, 3.54911E+03
 4.49042E+01, 3.55931E+03
 4.69992E+01, 3.57331E+03
 4.90935E+01, 3.58698E+03
 5.11870E+01, 3.60609E+03
 5.32797E+01, 3.62757E+03
 5.53717E+01, 3.65409E+03
 5.74630E+01, 3.68649E+03
 5.95534E+01, 3.70919E+03
 6.16431E+01, 3.72178E+03
 6.37321E+01, 3.71865E+03
 6.58203E+01, 3.71479E+03
 6.79077E+01, 3.71306E+03
 6.99944E+01, 3.71094E+03
 7.20804E+01, 3.70736E+03
 7.41655E+01, 3.70702E+03
 7.62500E+01, 3.70057E+03
 7.83336E+01, 3.69136E+03
 8.04165E+01, 3.69053E+03
 8.24987E+01, 3.69166E+03
 8.45801E+01, 3.68673E+03
 8.66608E+01, 3.68269E+03
 8.87407E+01, 3.68094E+03
 9.08198E+01, 3.67980E+03
 9.28982E+01, 3.68121E+03
 9.49758E+01, 3.67844E+03
 9.70527E+01, 3.67568E+03
 9.91289E+01, 3.67329E+03
 1.01204E+02, 3.66773E+03
 1.03279E+02, 3.66790E+03
 1.05353E+02, 3.66381E+03
 1.07426E+02, 3.66581E+03
 1.09498E+02, 3.66570E+03
 1.11570E+02, 3.66051E+03
 1.13641E+02, 3.65794E+03
 1.15711E+02, 3.65367E+03
 1.17780E+02, 3.64883E+03
 1.19849E+02, 3.64590E+03
 1.21917E+02, 3.64507E+03
 1.23984E+02, 3.63731E+03
 1.26051E+02, 3.63557E+03
 1.28116E+02, 3.63361E+03
 1.30181E+02, 3.63069E+03
 1.32245E+02, 3.62510E+03
 1.34309E+02, 3.62164E+03
 1.36371E+02, 3.62018E+03
 1.38433E+02, 3.61967E+03
 1.40495E+02, 3.61773E+03
 1.42555E+02, 3.61410E+03
 1.44615E+02, 3.61126E+03
 1.46674E+02, 3.60688E+03
 1.48732E+02, 3.60509E+03
 1.50789E+02, 3.60387E+03
 1.52846E+02, 3.60163E+03
 1.54902E+02, 3.60174E+03
 1.56957E+02, 3.59894E+03
 1.59012E+02, 3.59492E+03
 1.61066E+02, 3.59289E+03
 1.63119E+02, 3.59069E+03
 1.65171E+02, 3.59065E+03
 1.67223E+02, 3.58868E+03
 1.69274E+02, 3.58866E+03
 1.71324E+02, 3.58879E+03
 1.73373E+02, 3.58570E+03
 1.75422E+02, 3.58361E+03
 1.77469E+02, 3.58297E+03
 1.79517E+02, 3.58158E+03
 1.81563E+02, 3.58028E+03
 1.83609E+02, 3.57887E+03
 1.85654E+02, 3.57745E+03
 1.87698E+02, 3.57717E+03
 1.89741E+02, 3.57583E+03
 1.91784E+02, 3.57492E+03
 1.93826E+02, 3.57362E+03
 1.95867E+02, 3.57198E+03
 1.97908E+02, 3.57382E+03
 1.99947E+02, 3.57062E+03
 2.01987E+02, 3.57166E+03
 2.04025E+02, 3.57078E+03
 2.06062E+02, 3.57144E+03
 2.08099E+02, 3.57201E+03
 2.10135E+02, 3.57007E+03
 2.12171E+02, 3.56921E+03
 2.14205E+02, 3.56947E+03
 2.16239E+02, 3.57027E+03
 2.18273E+02, 3.56865E+03
 2.20305E+02, 3.56861E+03
 2.22337E+02, 3.56851E+03
 2.24368E+02, 3.56768E+03
 2.26398E+02, 3.56649E+03
 2.28428E+02, 3.56658E+03
 2.30456E+02, 3.56480E+03
 2.32484E+02, 3.56589E+03
 2.34512E+02, 3.56426E+03
 2.36538E+02, 3.56387E+03
 2.38564E+02, 3.56361E+03
 2.40590E+02, 3.56464E+03
 2.42614E+02, 3.56534E+03
 2.44638E+02, 3.56540E+03
 2.46661E+02, 3.56639E+03
 2.48683E+02, 3.56691E+03
 2.50705E+02, 3.56704E+03
 2.52725E+02, 3.56870E+03
 2.54746E+02, 3.56748E+03
 2.56765E+02, 3.56755E+03
 2.58784E+02, 3.56744E+03
 2.60801E+02, 3.56799E+03
 2.62819E+02, 3.56793E+03
 2.64835E+02, 3.56841E+03
 2.66851E+02, 3.56934E+03
 2.68866E+02, 3.56936E+03
 2.70880E+02, 3.56973E+03
 2.72894E+02, 3.57041E+03
 2.74907E+02, 3.57234E+03
 2.76919E+02, 3.57351E+03
 2.78930E+02, 3.57526E+03
 2.80941E+02, 3.57529E+03
 2.82951E+02, 3.57840E+03
 2.84960E+02, 3.58011E+03
 2.86969E+02, 3.58076E+03
 2.88977E+02, 3.58279E+03
 2.90984E+02, 3.58498E+03
 2.92990E+02, 3.58615E+03
 2.94996E+02, 3.58862E+03
 2.97001E+02, 3.59055E+03
 2.99005E+02, 3.58996E+03
 3.01009E+02, 3.58971E+03
 3.03012E+02, 3.59094E+03
 3.05014E+02, 3.59140E+03
 3.07015E+02, 3.59265E+03
 3.09016E+02, 3.59150E+03
 3.11016E+02, 3.59146E+03
 3.13015E+02, 3.58947E+03
 3.15013E+02, 3.58930E+03
 3.17011E+02, 3.59071E+03
 3.19008E+02, 3.59221E+03
 3.21005E+02, 3.59025E+03
 3.23000E+02, 3.58885E+03
 3.24995E+02, 3.58732E+03
 3.26990E+02, 3.58868E+03
 3.28983E+02, 3.58717E+03
 3.30976E+02, 3.58638E+03
 3.32968E+02, 3.58688E+03
 3.34959E+02, 3.58592E+03
 3.36950E+02, 3.58372E+03
 3.38940E+02, 3.58354E+03
 3.40929E+02, 3.58454E+03
 3.42918E+02, 3.58427E+03
 3.44906E+02, 3.58654E+03
 3.46893E+02, 3.59009E+03
 3.48879E+02, 3.59061E+03
